date,link,summary,summary_polarity,title,title_polarity
2010-09-17 11:43:52,https://www.bloomberg.com/news/articles/2010-09-17/monte-dei-paschi-edison-fondiaria-sai-may-move-italian-stock-preview," Oracle Corp. posted earnings that beat forecasts and signaled a rise in technology spending. Tenaris SA (TEN IM), the world’s largest maker of seamless pipes, rose 1 percent to 14.09 euros as oil... ",0.2333," Italian Stocks: Fiat, Campari, Intesa, Kerself, STM, Parmalat ",0.0
2010-10-05 06:24:58,https://www.bloomberg.com/news/articles/2010-10-05/brembo-enel-unicredit-yoox-may-be-active-italian-market-equity-preview, late yesterday. The shares lost 1.4 percent to 15.74 euros. Tenaris SA (TEN IM): BofA Merrill Lynch trimmed its price estimate on Tenaris’s ADRs to $49 from $52. Shares of the world’s biggest maker... ,-0.15," Brembo, Enel, UniCredit, Yoox: Italian Market Equity Preview ",0.0
2010-10-07 11:31:39,https://www.bloomberg.com/news/articles/2010-10-07/azimut-fiat-stmicro-tenaris-might-move-italian-market-equity-preview," on the car-parts maker controlled by financier Carlo De Benedetti by 25 percent to 2.5 euros. Tenaris SA (TEN IM) rose 3 percent to 14.61 euros, a third straight gain. Fidentiis Equities SV SA initiated... ",0.2," Italian Stocks: Azimut, Impregilo, Mediaset, Popolare, Tenaris ",0.0
2010-10-11 03:00:01,https://www.bloomberg.com/news/articles/2010-10-11/pemex-s-exit-from-drill-baby-drill-may-hurt-cicsa-tenaris," newsletter, said in an interview from Houston. Tenaris shares have fallen 7.2 percent in the past six months. Gerardo Cardenas, a spokesman for Tenaris, said the company didn’t immediately have a... ",-0.25," Pemex’s Exit From ‘Drill, Baby, Drill’ May Hurt Cicsa, Tenaris ",0.0
2010-10-29 11:12:42,https://www.bloomberg.com/news/articles/2010-10-29/eni-intesa-recordati-stmicro-unicredit-may-move-italy-equity-preview," Lynch Global Research to reflect ""the recent weakening of the dollar relative to the euro."" Tenaris SpA (TEN IM), the world’s biggest maker of seamless steel tubes, declined 0.8 percent to 14.8... ",0.02," Italian Stocks: Amplifon, Intesa, Milano Assicurazioni, STM, UBI ",0.0
2010-11-01 09:07:58,https://www.bloomberg.com/news/articles/2010-10-31/enel-generali-premafin-unicredit-might-be-active-italy-equity-preview," capital increase. Investors also approved the mandate for the board to sell bonds by March 2012. Tenaris SA (TEN IM), the world’s biggest maker of seamless steel tubes for oil and gas extraction, gained... ",0.05," Italian Stocks: Cell Therapeutics, Indesit, Piaggio, Premafin ",0.0
2010-11-04 21:12:05,https://www.bloomberg.com/news/articles/2010-11-04/tenaris-reports-third-quarter-net-income-increases-33-to-304-8-million," the first half of 2011,” Tenaris said. Sales in Mexico declined in the quarter because of reduced activity at Chicontepec and Burgos and hurricane disruptions, Tenaris said. North America is a... ",0.0417, Tenaris Profit Gains on Rising North America Drilling ,0.0
2010-11-05 05:54:37,https://www.bloomberg.com/news/articles/2010-11-05/cencosud-embraer-gerdau-iansa-tenaris-latin-america-equity-preview," 4,700.27. In Brazil, preferred shares usually are the most-traded class of stock. Argentina Tenaris SA (TS AF): The world’s largest maker of seamless steel pipes posted third-quarter profit of... ",-0.075," Cencosud, Embraer, Iansa, Tenaris: Latin America Equity Preview ",0.0
2010-11-18 15:04:26,https://www.bloomberg.com/news/articles/2010-11-18/argentine-stock-movers-bbva-banco-frances-tenaris-and-tgs," equities which rose on prospects of a rescue package for Irish banks from the European Union. Tenaris SA (TS AF) rose 2.9 percent to 89.50 pesos, its second day of gains. The world’s largest manufacturer... ",0.24," Argentine Stock Movers: BBVA Banco Frances, Tenaris and TGS ",0.0
2010-11-19 21:10:10,https://www.bloomberg.com/news/articles/2010-11-19/argentine-stock-movers-longvie-quickfood-and-tenaris, company’s production facilities was seized by striking workers asking for better labor conditions. Tenaris SA (TS AF) fell 0.8 percent to 88.40 pesos. The world’s largest producer of seamless steel pipes... ,0.3667," Argentine Stock Movers: Longvie, Quickfood and Tenaris ",0.0
2010-11-23 20:50:06,https://www.bloomberg.com/news/articles/2010-11-23/argentine-stock-movers-banco-hipotecario-siderar-and-tenaris," with industrial metal prices after China imposed curbs to lending as a way to slow inflation. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes for the oil industry, retreated... ",-0.1," Argentine Stocks: Banco Hipotecario, Pampa, Siderar and Tenaris ",0.0
2010-11-29 20:24:22,https://www.bloomberg.com/news/articles/2010-11-29/argentine-stock-movers-grupo-clarin-pampa-energia-tenaris," according to a statement posted Nov. 26 on the website of Argentina’s securities regulator. Tenaris SA (TS AF) fell 2.4 percent to 85.20 pesos, the steepest fall in almost a week. The world’s largest... ",0.0," Argentine Stock Movers: Grupo Clarin, Pampa Energia, Tenaris ",0.0
2010-12-09 21:13:12,https://www.bloomberg.com/news/articles/2010-12-09/argentine-stock-movers-petrobras-argentina-tgs-tgn-and-ypf," 1.44 pesos. Tenaris SA (TS AF) fell 1.5 percent to 91.60 pesos, the most in more than a week. Crude oil prices fell today, signaling lower demand for the seamless steel tubes Tenaris produces. YPF... ",0.1," Argentine Stocks: Petrobras Argentina, Tenaris, TGN, TGS, YPF ",0.0
2010-12-13 21:10:03,https://www.bloomberg.com/news/articles/2010-12-13/argentine-stock-movers-grupo-galicia-siderar-tenaris," line with base metal prices, which surged after China refrained from raising borrowing costs. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes, gained 2.8 percent to 95.10... ",-0.35," Argentine Stock Movers: Grupo Galicia, Siderar, Tenaris ",0.0
